Location,Bedrooms,Bath,Floor_area (sqm),Latitude,Longitude,Price (PHP)
"Bagong Ilog, Pasig",1,1,58.0,14.565391,121.06934,5300000.0
"Novaliches, Quezon City",2,1,35.0,14.68155,121.0198,6363100.0
"Highway Hills, Mandaluyong",2,2,84.0,14.578255,121.052143,15982506.0
"Ugong, Pasig",1,1,57.0,14.588882,121.079016,16274000.0
"Ugong, Pasig",1,1,58.0,14.588882,121.079016,16042000.0
"Barangay 19-B, Davao",1,1,22.0,7.0928915,125.6056916,4009821.0
"Ortigas CBD, Pasig",1,1,48.0,14.583771,121.059675,11323200.0
"Ugong, Pasig",1,1,58.0,14.588882,121.079016,15601000.0
"Cupang, Muntinlupa",3,1,323.0,14.434669,121.040194,39675000.0
"Ortigas CBD, Pasig",1,1,52.0,14.583771,121.059675,13209600.0
"Novaliches, Quezon City",2,1,35.0,14.68155,121.0198,6363100.0
"Ortigas CBD, Pasig",1,1,47.0,14.583771,121.059675,11054400.0
"Novaliches, Quezon City",3,2,54.0,14.68155,121.0198,7802700.0
"Ortigas CBD, Pasig",3,2,98.0,14.583771,121.059675,22111600.0
"Alabang, Muntinlupa",1,1,39.0,14.4179774,121.037608,6000000.0
"Wack-Wack Greenhills, Mandaluyong",1,1,27.0,14.592173,121.053333,6423156.0
"Ugong, Pasig",1,1,57.0,14.588882,121.079016,16214000.0
"Bagumbayan, Quezon City",1,1,51.0,14.605396,121.081903,10097000.0
"Cupang, Muntinlupa",2,1,54.0,14.434669,121.040194,5071500.0
"Pinagbuhatan, Pasig",1,1,27.0,14.555535,121.090095,3297501.0
"Diliman, Quezon City",2,2,68.0,14.644874,121.050593,10000000.0
"Talamban, Cebu",1,1,33.0,10.36171,123.911374,3110000.0
"Sambag II, Cebu",1,1,24.0,10.3058395,123.8908567,2810000.0
"New Manila, Quezon City",3,2,53.0,14.621176,121.022808,8229500.0
"Ugong, Pasig",1,1,101.0,14.587964,121.079045,27122000.0
"Ortigas CBD, Pasig",2,2,74.0,14.583771,121.059675,18013400.0
"Ugong, Pasig",1,1,35.0,14.588882,121.079016,8788000.0
"North Reclamation Area, Cebu",1,1,25.0,10.3084189,123.9157609,4690752.0
"Oranbo, Pasig",2,2,104.0,14.575822,121.064324,32474000.0
"Oranbo, Pasig",1,1,40.0,14.575822,121.064324,12245000.0
"Paligsahan, Quezon City",3,2,46.0,14.646511,120.996952,6626880.0
"Ugong, Pasig",1,1,58.0,14.588882,121.079016,15982000.0
