Description,Location,Price (PHP),Bedrooms,Bath,Floor_area (sqm),Latitude,Longitude,Link,Location_Last_Part
"Residential Unit (111-04) for Sale in UniPlace @ SWU Village, Cebu City","Sambag II, Cebu",2810000,1,1,24,10.3058395,123.8908567,https://www.lamudi.com.ph/residential-unit-111-04-for-sale-in-uniplace-swu-village-cebu-city.html,Cebu
"RFO 1-Bedroom Condo Unit for Sale in Asia Enclaves, Cupang, Muntinlupa City | 216-F","Cupang, Muntinlupa",2515625,1,1,30,14.434669,121.040194,https://www.lamudi.com.ph/rfo-1-bedroom-condo-unit-for-sale-in-asia-enclaves-cupang-muntinlupa-city-216-f.html,Muntinlupa
"3-Bedroom Unit (112 sqm) for Sale in The Signature, Balintawak Quezon City","Pag-Ibig Sa Nayon, Quezon City",14600000,3,2,112,14.646511,120.996952,https://www.lamudi.com.ph/3-bedroom-unit-112-sqm-for-sale-in-the-signature-balintawak-quezon-city.html,Quezon City
"1-Bedroom Condo Unit for Sale at Legacy Leisure Residences in Ma-a, Davao City | 32.7...","Ma-A, Davao",3702460,1,1,32,7.0867489,125.5840299,https://www.lamudi.com.ph/1-bedroom-condo-unit-for-sale-at-legacy-leisure-residences-in-ma-a-davao-city-32-75-sqm.html,Davao
Pioneer Pointe 2BR Bi-Level Unit (69 sqm) for Sale in Mandaluyong (Move-in for as low...,"Highway Hills, Mandaluyong",11088000,2,2,69,14.578255,121.052143,https://www.lamudi.com.ph/pioneer-pointe-2br-bi-level-unit-69-sqm-for-sale-in-mandaluyong-move-in-for-as-low-as-php-320k.html,Mandaluyong
"The Signature - 2-Bedroom Unit (83 sq. m.) in A. Bonifacio Quezon City. Php 95,000 mo...","Pag-Ibig Sa Nayon, Quezon City",9600000,2,2,83,14.646511,120.996952,https://www.lamudi.com.ph/the-signature-2-bedroom-unit-83-sq-m-in-a-bonifacio-quezon-city-php-95-000-monthly.html,Quezon City
"1BR Condo Unit (33sqm)  for Sale in Tivoli Condo, Talamban, Cebu City","Talamban, Cebu",3110000,1,1,33,10.36171,123.911374,https://www.lamudi.com.ph/1br-condo-unit-33sqm-for-sale-in-tivoli-condo-talamban-cebu-city.html,Cebu
"Cityland 101 Xavierville, 1-Bedroom Deluxe for Sale in Quezon City","Loyola Heights, Quezon City",3811333,1,1,41,14.640624,121.076504,https://www.lamudi.com.ph/cityland-101-xavierville-1-bedroom-deluxe-for-sale-in-quezon-city.html,Quezon City
"1BR Condo Unit for Sale in Seville Residences at Circulo Verde, Bagumbayan, Quezon Ci...","Bagumbayan, Quezon City",9353260,1,1,62,14.605396,121.081903,https://www.lamudi.com.ph/1br-condo-unit-for-sale-in-seville-residences-at-circulo-verde-bagumbayan-quezon-city-unit-gl2d.html,Quezon City
"Cityland 101 Xavierville, 1-Bedroom Unit for Sale in Quezon City","Loyola Heights, Quezon City",2131988,1,1,24,14.640624,121.076504,https://www.lamudi.com.ph/cityland-101-xavierville-1-bedroom-unit-for-sale-in-quezon-city.html,Quezon City
